Analytische Chemie Hörerlabor links,32,E150,Nicht buchbar,Verfügbar,Eckbau,"Getreidemarkt 9,",BB05C01,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB05C01
Analytische Chemie Hörerlabor rechts,32,E150,Nicht buchbar,Verfügbar,Eckbau,"Getreidemarkt 9,",BB05C17,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB05C17
Anorganische Spurenalanlytik,3,E150,Nicht buchbar,Verfügbar,Eckbau,"Getreidemarkt 9,",BB04C23,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB04C23
Atominstitut Bibliothek,25,E141,Lokal,Verfügbar,Atominstitut,"Stadionallee 2, 1. Stock, links",ZA0115,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ATIB
"Aufbaulabor - Achtung! Werkraum, kein Hörsaal!",120,E299-01,Lokal,Verfügbar,Hauptgebäude,"Karlsplatz 13, Hauptgebäude, Stiege 7, 1.Stock",AH0105,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ABL
Besprechung O214 - 1,14,,Zentral,Verfügbar,ARSENAL Objekt 214,"Franz-Grill-Straße 9,",OZEG43,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=OZEG43
Besprechungsraum 01,5,,Lokal,Verfügbar,Lehartrakt,"Lehargasse 4,",BC01A04,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BC01A04
Besprechungsraum 01,10,E199-01,Nicht buchbar,Verfügbar,Erzherzog-Johann-Pl. 1,"Erzherzog-Johann-Platz 1,",FB0411,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=FB0411
Besprechungsraum 02,10,E199-01,Nicht buchbar,Verfügbar,Erzherzog-Johann-Pl. 1,"Erzherzog-Johann-Platz 1,",FB0402,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=FB0402
Besprechungsraum 362 - 2,12,E362,Nicht buchbar,Verfügbar,ZMNS,"Gußhausstraße 25-25a,",CH0205B,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CH0205B
Besprechungsraum Galerie,14,E629,Zentral,Verfügbar,Institutsgebäude,"Argentinierstraße 8, Argentinierstrasse 8, 1. Stock",EAZE04,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRG
Besprechungsraum Kuppel,8,E629,Zentral,Verfügbar,Institutsgebäude,"Argentinierstraße 8, Argentienerstraße 8, EG",EAEG05A,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRK
Bibliothek E354,20,,Nicht buchbar,Verfügbar,Haupttrakt,"Gußhausstraße 25-25a, Gußhausstraße 25",CF0117,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CF0117
Bibliothek E363,20,E363,Lokal,Verfügbar,Gußhausstr. 27-29 - Neu El,"Gußhausstraße 25-29,",CB0115,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CB0115
Büro Birner-Grünberger,3,,Nicht buchbar,Verfügbar,Geniegebäude,"Getreidemarkt 9,",BZ0101,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BZ0101
Büro Kasper-Giebl,3,,Nicht buchbar,Verfügbar,Eckbau,"Getreidemarkt 9,",BB03I25,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB03I25
Büro Marchetti-Deschmann,3,,Nicht buchbar,Verfügbar,Eckbau,"Getreidemarkt 9,",BB05N25,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BB05N25
Büro Schnürch,5,,Nicht buchbar,Verfügbar,Loschmitdt Trakt,"Getreidemarkt 9,",BI02A07,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BI02A07
Büro Stanetty,3,,Nicht buchbar,Verfügbar,Loschmitdt Trakt,"Getreidemarkt 9,",BI02H08,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BI02H08
CAD-Labor Saal 1 und 2,60,E307,Lokal,Verfügbar,Hoftrakt,"Lehargasse 6,",BD07B33,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BD+07+D32
CAD-Labor Saal 3,30,E307,Lokal,Verfügbar,Hoftrakt,"Lehargasse 6,",BD06B33,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BD+06+B33
CAD1,13,E104-04,Nicht buchbar,Verfügbar,Freihausgebäude,"Wiedner Hauptstraße 8-10,",DA08G10,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DA08G10
CAD2,15,E104-04,Nicht buchbar,Verfügbar,Freihausgebäude,"Wiedner Hauptstraße 8-10,",DA07E10,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DA07E10
CEE EDV-Lehrraum,30,E249,Nicht buchbar,Verfügbar,Hauptgebäude,"Karlsplatz 13,",AE0138,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AE0138
CEE Sitzungszimmer,20,E249,Nicht buchbar,Verfügbar,Hauptgebäude,"Karlsplatz 13,",AE0144,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AE0144
CPS Bibliothek,11,E191-50,Lokal,Verfügbar,Institutsgebäude,"Treitlstraße 3,",DE0328,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DE0328
CPS Labor,10,,Lokal,Verfügbar,Institutsgebäude,"Treitlstraße 3,",DE0302,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DE0302
Computerlabor CA 0514,6,E360-01,Nicht buchbar,Verfügbar,Gußhausstr. 27-29 - Neu El,"Gußhausstraße 25-29,",CA0514,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CA+0514
Computerlabor CA 0518,3,E360-01,Nicht buchbar,Verfügbar,Gußhausstr. 27-29 - Neu El,"Gußhausstraße 25-29,",CA0518,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CA+0518
Computerlabor CA0510,6,E360-01,Nicht buchbar,Verfügbar,Gußhausstr. 27-29 - Neu El,"Gußhausstraße 25-29,",CA0510,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CA0510
Computerlabor CH0217,18,E362,Nicht buchbar,Verfügbar,ZMNS,"Gußhausstraße 25-25a,",CH0217,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=Ch0217
DSLab,24,E194,Nicht buchbar,Verfügbar,Institutsgebäude,"Argentinierstraße 8,",EAU120B,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EA+U1+20B
EDV Praktikum Physik,32,E134,Lokal,Verfügbar,Freihausgebäude,"Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 1. OG",DB01E09,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EDVP
EDV-Raum. DA grün 02 D,28,E129,Lokal,Verfügbar,Freihausgebäude,"Wiedner Hauptstraße 8-10, , Turm A, grüner Bereich, 2. OG",DA02K20,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=DA02K20
EI 1 Petritsch HS,63,,Zentral,Verfügbar,Haupttrakt,"Gußhausstraße 25-25a, 2. Stock",CF0242,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E1
EI 10 Fritz Paschke HS - UIW,151,,Zentral,Verfügbar,Gußhausstr. 27-29 - Neu El,"Gußhausstraße 25-29, Stiege 1, Erdgeschoss",CAEG31,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10
EI 11 Geodäsie HS - INF,81,,Zentral,Verfügbar,Gußhausstr. 27-29 - Neu El,"Gußhausstraße 25-29, Stiege 1, 3. Stock",CD0304,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E11
EI 2 Pichelmayer HS - ETIT,135,,Zentral,Verfügbar,Haupttrakt,"Gußhausstraße 25-25a, 2. Stock",CF0235,https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E2
